request,completion
"Write me a set of detailed points that describe the key highlights and projections regarding companies participating in initial coin offerings (ICOs). Touch on the following points:
- ICOs lack sufficient data to assess risk and return.
- ICO-backed companies have higher risk compared to traditional venture capital.
- Blockchain infrastructure-focused ICOs perform better than application-focused ones.
- Follow-up assessment and funding shift towards venture capital expected.
- Regulatory concerns may limit investor participation in certain jurisdictions.","Nearly a year after the first big global wave of ICOs, there is not enough data yet to form a full perspective on the risk and return mix of this new investment medium. In prior technological revolutions, many companies failed, and it took time for those that didn’t to mature into investments appropriate for a wide variety of investors.
However, the early returns from ICOs are not encouraging. Compared to traditional venture capital investing, ICO-backed companies look like they offer more risk based on a number of factors including the lack of progress towards usable products.
The highest performing ICO investments in the last year have been mostly focused on blockchain infrastructure, while those focused on blockchain-enabled applications and business ecosystems generally have performed poorly.
In a year, we plan to revisit The Class of 2017 and provide an update. We also plan to issue a report later this year reconciling funding claimed by projects to the activity reflected in their respective blockchains.
Globally, sources of funding will likely shift away from retail investors towards entities that can understand and manage the downside risks, such as venture capital and digital asset-focused investment funds.
Regulatory concerns will likely continue to limit participation of certain classes of investors in various jurisdictions (e.g., non-accredited investors in the US). We expect regulators in developed securities markets to proceed cautiously."
"Write me an overview statement followed by detailed bullets that hits on the following points:
- Australia has handled COVID-19 well compared to other countries, supported by early actions and resilient infrastructure.
- Early measures caused changes in patterns of infrastructure use.
- Adapting domestic supply chains is crucial for resilience and productivity.
- This report is an interim report for the 2021 Australian Infrastructure Plan and complements the 2019 Audit.
- Many trends show shifts in demand, but predicting the future during uncertainty is challenging.","The silver lining of the COVID-19 pandemic is that to date Australia has handled the pandemic well, supported by critical infrastructure services and networks that were able to reconfigure quickly and deliver differently, and showed a resilience beyond many other OECD nations.
- As the COVID-19 pandemic spread, Australian governments took early action, introducing travel bans, lockdowns, and border controls and supporting domestic supply chains. Communities adopted social distancing and moved to working from home. While these early measures successfully contained national case numbers, they prompted profound changes to the way people moved, consumed, and worked, changing patterns of infrastructure use.
- Adapting domestic supply chains was a core element of our resilience and will be critical for underpinning productivity and supporting the long term move to a circular economy.
- This report identifies the impacts of migration changes and the consequences for skills and infrastructure demand. It reviews a wide range of infrastructure trends, their geographic distribution, and their likelihood of returning to historical trend after the pandemic. It is an interim report for the 2021 Australian Infrastructure Plan, and complements the 2019 Audit.
- The report provides an imperfect view; available data is not always up to date, so may not give a complete picture of what is an evolving story.
- Anticipating the future during a period of uncertainty is fraught with difficulty, and many predictions made in past crises have not eventuated. Nonetheless, many of the trends show a redistribution of existing demand, a mode or channel switch, or an acceleration of an existing longer term shift. "
"Write me a detailed set of points highlighting the work my company did for the NYCHA in March 2011 to help optimize their central office support functions. NYCHA hired our company in 2011 to reshape its central office support functions for greater efficiency and effectiveness. We focused on business process improvements, IT systems enhancements, organizational structure redesign, and capabilities/cultural change. We provided key recommendations, resulting value, and projected cost savings in a document for the senior team and board.","Our company was hired by NYCHA in March 2011 to reshape its central office support functions to achieve two objectives:
- Achieve greater efficiency and effectiveness
- Free up resources to invest in the ""front-line"" of NYCHA
Our work focused on identifying four types of opportunities, which when taken together, will reshape NYCHA's operating model:
- Business process improvements
- IT systems enhancements
- Organizational structure redesign
- Capabilities and cultural change
Given the broad nature of the engagement, we are providing a document summarizing our company's work for the senior team and board. The objectives of this document are:
- Provide a summary of our company's work
- Share the key recommendations and support provided by our company
- Describe the resulting value delivered and projected cost savings
- Summarize the infrastructure, tools, and capabilities built to support successful implementation"
"Write me a set of points for a summary page that describes the work my team did with NYCHA employees to identify and implement transformation initiatives, using various approaches such as analysis, benchmarking, mapping, and interviews. Opportunities for improvement were focused on business processes, IT systems, organizational structure, and capabilities/cultural change. Key design principles were defined for NYCHA's new operating model, aiming to create a property-centric, less hierarchical organization with improved core capabilities.","We worked shoulder-to-shoulder with NYCHA employees across the organization, cooperating as a joint
team to identify, plan, and implement transformation initiatives
The joint team used several approaches to identify opportunities for improving support functions
- Detailed analysis and benchmarking of organizational structure and staffing levels to identify inefficiencies, ineffective allocation of decision rights, and other areas for improvement
- Mapping, analyzing, and benchmarking of processes and activities to identify bottle-necks
- Interviews with customers and employees to develop, test, and refine initial top-down hypotheses
- Identification of policies and regulations that could be a barrier to implementation of recommendations
The team focused on identifying four types of opportunities
- Business process improvements – streamlining processes and outsourcing non-core processes
- IT systems enhancements – making substantial improvements to IT systems and investment decision-making processes to more effectively allocate IT resources
- Organizational structure redesign – restructuring support functions from transaction-oriented departments into strategic business partners driving improvements
- Capabilities and cultural change – building capabilities to fill gaps and promote higher employee performance
To frame the development of recommendations, the team defined key design principles for NYCHA's new operating model – the overarching goal was to move NYCHA towards a more property-centric, less hierarchical organization excelling in its core capabilities"
"Write me a page with bullet points that highlight the need for long-term strategic value, efficient use of technology, best-in-class performance, and data-driven decision-making with clear accountability. Prioritize long-term solutions over quick fixes, leverage technology for process redesign, and aim for top quartile performance. Integrate performance management into processes, minimize system complexity, and align data requests with business requirements for optimal outcomes.","Design for long-term strategic value while still identifying quick wins
- Build capabilities in line with key strategic priorities
- Invest and develop for long-term solutions rather than quick fixes
Use best-in-class technology to drive process redesign not vice-versa
- Leverage technology to replace inefficient processes
- Reduce system complexity; adapt simple technology rather than develop complex, customized solutions unless necessary
- Target new data requests and information needs to business requirements and minimize additional layers
Ensure driving toward becoming a best-in-class performer with best-in-class employees
- Avoid re-inventing the wheel, leverage best practices (internal and external)
- Insist on top quartile performance in operating and customer service metrics
- Integrate performance management into processes
- Bias toward transparent, data-driven decision-making and clear accountability"
"Write me a page with a detailed set of points that describe how the construction sector in Australia was impacted by the COVID-19 pandemic, with significant declines in cash flow, revenue, and profitability reported by 25-30% of businesses. Employment in the sector fell by 0.4% in 2020, with projections of further declines and 42,000 job losses by 2021. Productivity losses and difficulties in fulfilling contractual obligations were reported by a significant portion of businesses, affecting both businesses and contracting parties.","The construction sector experienced a large level of volatility in projects undertaken due to the COVID-19 pandemic,
leading to poorer financial performance amongst construction businesses
- around 25-30% of construction businesses surveyed claimed to have experienced significant declines of over 20% in cash flow, revenue and profitability
- impacts varied across sectors with greater negative impact reported further down the supply chain, for example with sub-contractors and suppliers
The sector, which accounts for around 9.6% of Australian employment, experienced increases in unemployment concentrated in VIC, NSW and QLD
- total employment in building and construction activities fell by 0.4% in 2020
- employment is projected to fall a further around 3.6% with 42,000 jobs forecast to be lost by 2021 according to the Australian Construction Industry Forum (ACIF)
Further, a number of businesses reported productivity losses and an inability to perform contracted work
- around 45-50% of businesses claimed to have their productivity negatively affected by the pandemic
- around 26% of respondents were unable to fulfil certain contractual obligations since June due to COVID-19, while 46% claim that other contracting parties have been unable to fulfil such obligations"
"Take my summary below and create bullet points highlighting the key points:
BuildJet (YC W23) has built a high-performance computing cloud that’s ~2X faster and ~10x times cheaper than AWS. It does not get more disruptive than this. 
They fully bootstrapped to $324k Annual Revenue with an impressive 78% gross margin. With zero funding, they’ve been able to build an amazing product, get it live, and get customers which all love the product. This is a capital-light, high-margin business. It fits our focus 100%. And while it may seem like a “simple” product, it’s highly defensible and tough to replicate.","Highlights:
- Amazing product which is ~2x faster and ~10x cheaper than AWS
- Fully bootstrapped to $324k ARR with 78% margins.
- Profitable (they may well be the only profitable company in the current batch)
- 100% organic growth - zero spent on marketing
- In the top 5% of YC W23 companies based on revenue
- A capital-light product which is easily scalable"
"Create a short and succint summary based on the following key points regarding the startup BuildJet:
- Amazing product which is ~2x faster and ~10x cheaper than AWS
- Fully bootstrapped to $324k ARR with 78% margins.
- Profitable (they may well be the only profitable company in the current batch)
- 100% organic growth - zero spent on marketing
- In the top 5% of YC W23 companies based on revenue
- A capital-light product which is easily scalable","BuildJet has built a high-performance computing cloud that’s ~2X faster and ~10x times cheaper than AWS. It does not get more disruptive than this. 
/n/nThey fully bootstrapped to $324k Annual Revenue with an impressive 78% gross margin. With zero funding, they’ve been able to build an amazing product, get it live, and get customers which all love the product. This is a capital-light, high-margin business. It fits our focus 100%. And while it may seem like a “simple” product, it’s highly defensible and tough to replicate."
"Take my summary below and create bullet points highlighting the key points:
Burrow is one of the very few companies in the “Home & Living” industry that actually showed solid revenue growth in 2022. We’re investing alongside top tier VCs NEA (New Enterprise Associates). Also participating at the same terms are the Co-founders Stephen Kuhl (CEO) and Kabeer Chopra (CTO). Always great to see founders invest at the same terms. Terms are attractive: 25% discount to the next round and capped at $300M (series C-1 was at $300M post in February 2022). Revenue reached $108M in 2022 with ~40% margins. They expect to be able to push margins above 50% this year (currently in the mid-40s) and reach P&L break-even by end of year. They've realized a 87% CAGR since launching in 2017.

Burrow is ready for a strong 2023 with a number of new products ready to hit the market.

Burrow (website) is the new standard in furniture. The company started out with a modular sofa which was an instant hit (and still is highly successful). Their innovative modular design is driven by the belief that furniture should fit any home. Products are made from durable, premium materials like sustainably-forested wood, strengthened steel hardware, and top-grain Italian leather.","Highlights:
- Company is disrupting the furniture market.
- $108M revenue in 2022. As a point of reference, the furniture industry was down double digits in 2022 while Burrow grew almost 50%. 
- ~40% gross margins and targeting 50% this year
- Expecting to reach profitability this year
- 87% CAGR since their launch in 2017
- Top VC firm New Enterprise Associates (NEA) investing
- Co-founders Stephen Kuhl (CEO) and Kabeer Chopra (CTO) are both investing in this round as well"
"Create a short and succint summary based on the following key points about the company Burrow:
- Company is disrupting the furniture market.
- $108M revenue in 2022. As a point of reference, the furniture industry was down double digits in 2022 while Burrow grew almost 50%. 
- ~40% gross margins and targeting 50% this year
- Expecting to reach profitability this year
- 87% CAGR since their launch in 2017
- Top VC firm New Enterprise Associates (NEA) investing
- Co-founders Stephen Kuhl (CEO) and Kabeer Chopra (CTO) are both investing in this round as well","Burrow is one of the very few companies in the “Home & Living” industry that actually showed solid revenue growth in 2022. We’re investing alongside top tier VCs NEA (New Enterprise Associates). Also participating at the same terms are the Co-founders Stephen Kuhl (CEO) and Kabeer Chopra (CTO). Always great to see founders invest at the same terms. Terms are attractive: 25% discount to the next round and capped at $300M (series C-1 was at $300M post in February 2022). Revenue reached $108M in 2022 with ~40% margins. They expect to be able to push margins above 50% this year (currently in the mid-40s) and reach P&L break-even by end of year. They've realized a 87% CAGR since launching in 2017.

Burrow is ready for a strong 2023 with a number of new products ready to hit the market.

Burrow (website) is the new standard in furniture. The company started out with a modular sofa which was an instant hit (and still is highly successful). Their innovative modular design is driven by the belief that furniture should fit any home. Products are made from durable, premium materials like sustainably-forested wood, strengthened steel hardware, and top-grain Italian leather."
