request,completion
"Write me a set of detailed points that describe the key highlights and projections regarding companies participating in initial coin offerings (ICOs). Touch on the following points:
- ICOs lack sufficient data to assess risk and return.
- ICO-backed companies have higher risk compared to traditional venture capital.
- Blockchain infrastructure-focused ICOs perform better than application-focused ones.
- Follow-up assessment and funding shift towards venture capital expected.
- Regulatory concerns may limit investor participation in certain jurisdictions.",Key takeaways and outlook
"Write me an overview statement followed by detailed bullets that hits on the following points:
- Australia has handled COVID-19 well compared to other countries, supported by early actions and resilient infrastructure.
- Early measures caused changes in patterns of infrastructure use.
- Adapting domestic supply chains is crucial for resilience and productivity.
- This report is an interim report for the 2021 Australian Infrastructure Plan and complements the 2019 Audit.
- Many trends show shifts in demand, but predicting the future during uncertainty is challenging.",The COVID-19 pandemic revealed the resilience and adaptability of Australia’s infrastructure
"Write me a detailed set of points highlighting the work my company did for the NYCHA in March 2011 to help optimize their central office support functions. NYCHA hired our company in 2011 to reshape its central office support functions for greater efficiency and effectiveness. We focused on business process improvements, IT systems enhancements, organizational structure redesign, and capabilities/cultural change. We provided key recommendations, resulting value, and projected cost savings in a document for the senior team and board.",Context and objectives for this document
"Write me a set of points for a summary page that describes the work my team did with NYCHA employees to identify and implement transformation initiatives, using various approaches such as analysis, benchmarking, mapping, and interviews. Opportunities for improvement were focused on business processes, IT systems, organizational structure, and capabilities/cultural change. Key design principles were defined for NYCHA's new operating model, aiming to create a property-centric, less hierarchical organization with improved core capabilities.",Executive summary – Approach to identify opportunities
"Write me a page with bullet points that highlight the need for long-term strategic value, efficient use of technology, best-in-class performance, and data-driven decision-making with clear accountability. Prioritize long-term solutions over quick fixes, leverage technology for process redesign, and aim for top quartile performance. Integrate performance management into processes, minimize system complexity, and align data requests with business requirements for optimal outcomes.",Defined guiding principles for operating model design
"Write me a page with a detailed set of points that describe how the construction sector in Australia was impacted by the COVID-19 pandemic, with significant declines in cash flow, revenue, and profitability reported by 25-30% of businesses. Employment in the sector fell by 0.4% in 2020, with projections of further declines and 42,000 job losses by 2021. Productivity losses and difficulties in fulfilling contractual obligations were reported by a significant portion of businesses, affecting both businesses and contracting parties.","Businesses in the construction and building industry report revenue losses, and anticipate lower productivity due to COVID-19"
"Take my summary below and create bullet points highlighting the key points:
BuildJet (YC W23) has built a high-performance computing cloud that’s ~2X faster and ~10x times cheaper than AWS. It does not get more disruptive than this. 
They fully bootstrapped to $324k Annual Revenue with an impressive 78% gross margin. With zero funding, they’ve been able to build an amazing product, get it live, and get customers which all love the product. This is a capital-light, high-margin business. It fits our focus 100%. And while it may seem like a “simple” product, it’s highly defensible and tough to replicate.",Disrupting cloud computing with speed
"Create a short and succint summary based on the following key points regarding the startup BuildJet:
- Amazing product which is ~2x faster and ~10x cheaper than AWS
- Fully bootstrapped to $324k ARR with 78% margins.
- Profitable (they may well be the only profitable company in the current batch)
- 100% organic growth - zero spent on marketing
- In the top 5% of YC W23 companies based on revenue
- A capital-light product which is easily scalable",BuiidJet is 2x faster at 1/10 of cost
"Take my summary below and create bullet points highlighting the key points:
Burrow is one of the very few companies in the “Home & Living” industry that actually showed solid revenue growth in 2022. We’re investing alongside top tier VCs NEA (New Enterprise Associates). Also participating at the same terms are the Co-founders Stephen Kuhl (CEO) and Kabeer Chopra (CTO). Always great to see founders invest at the same terms. Terms are attractive: 25% discount to the next round and capped at $300M (series C-1 was at $300M post in February 2022). Revenue reached $108M in 2022 with ~40% margins. They expect to be able to push margins above 50% this year (currently in the mid-40s) and reach P&L break-even by end of year. They've realized a 87% CAGR since launching in 2017.

Burrow is ready for a strong 2023 with a number of new products ready to hit the market.

Burrow (website) is the new standard in furniture. The company started out with a modular sofa which was an instant hit (and still is highly successful). Their innovative modular design is driven by the belief that furniture should fit any home. Products are made from durable, premium materials like sustainably-forested wood, strengthened steel hardware, and top-grain Italian leather.","Burrow - A furniture design brand, designed for sustainable growth"
"Create a short and succint summary based on the following key points about the company Burrow:
- Company is disrupting the furniture market.
- $108M revenue in 2022. As a point of reference, the furniture industry was down double digits in 2022 while Burrow grew almost 50%. 
- ~40% gross margins and targeting 50% this year
- Expecting to reach profitability this year
- 87% CAGR since their launch in 2017
- Top VC firm New Enterprise Associates (NEA) investing
- Co-founders Stephen Kuhl (CEO) and Kabeer Chopra (CTO) are both investing in this round as well",Burrow is disrupting the furniture market
