input_data,locations
"Security Compliance Manager, San Francisco, About Hive   Hive is the leading provider of cloud-based AI solutions for content understanding, trusted by the world’s largest, fastest growing, and most innovative organizations. The company empowers developers with a portfolio of best-in-class, pre-trained AI models, serving billions of customer API requests every month. Hive also offers turnkey software applications powered by proprietary AI models and datasets, enabling breakthrough use cases across industries. Together, Hive’s solutions are transforming content moderation, brand protection, sponsorship measurement, context-based ad targeting, and more.   Hive has raised over $120M in capital from leading investors, including General Catalyst, 8VC, Glynn Capital, Bain & Company, Visa Ventures, and others. We have over 250 employees globally in our San Francisco, Seattle, and Delhi offices. Please reach out if you are interested in joining the future of AI!   Security Compliance Manager   We are looking for a highly motivated Security Compliance Manager with a deep security and compliance background to lead system development and process improvement. As part of Hive’s Security Team, you will collaborate with engineers and auditors to meet security compliance controls as well as enhance security compliance capabilities.    As a Security Compliance Manager, you will oversee the execution of our Information Security program for evaluating compliance with industry standards (ISO, SOC), federal regulations, and customer contractual requirements. You will have complete ownership and accountability of programs from start to finish, aimed at improving the Hive Company personnel screening compliance and risk monitoring. The ideal candidate is comfortable interacting with both technology and business leaders across the organization at all levels. You will drive consensus among stakeholders and verify that controls are effective, or remediated to become effective. Responsibilities Manage Hive’s current risk management programManage external and internal audits, including reviewing materials that require attention for accuracy and properly adhering to regulatory expectationsImplement ISMS in coordination with executive and mid-level managementDevelop reports that capture key business trends, highlights, lowlights, and metrics as the compliance programs are conducted. Provide status, recommended updates, and detailed metrics and evidenceWork with Engineering and Product teams to identify process improvements and efficiencies in areas of change management, access management and general technology process controlsProvide compliance, risk, and controls expertise to support information security and compliance initiativesProtect the business by assisting with cyber security risk assessmentsMaintain awareness of industry best practices for data maintenance handling as it relates to your roleManage a comprehensive Governance, Risk and Compliance programAdhere to and champion policies, guidelines and procedures pertaining to the protection of information assetsManage external security, privacy, and compliance requirements, including both internal requirements for vendors as well as external requirements placed on HiveReport actual or suspected security and/or policy violations/breachesDefine, develop, implement, and maintain our policies and processes that enable consistent, effective privacy practices that minimize risk and ensure the confidentiality of protected information, paper and/or electronic, across all media types and comply with applicable privacy laws and regulationsSupport Hive’s security review process from beginning to end by identifying all necessary internal stakeholders based on the request (e.g., security survey, audit, review), assembling relevant and appropriate documentation, drafting responses, scheduling and leading calls/meetings, and communicating follow-up activitiesServe as a subject matter expert for information security principles and practices (especially as they pertain to vendors and cloud security), and promoting a culture of security throughout the firmInterface with staff throughout the firm to facilitate the efficient and secure use of technology services Requirements Bachelor's degree or related experienceMinimum 4+ years experience related to conducting risk-based assessment for information systems and/or operationsMinimum 1+ years experience running a comprehensive Governance, Risk and Compliance programMinimum 2+ years experience leading industry standard (ISO 27001 or SOC 1/2) audits from either sideStrong knowledge of applicable privacy laws (CCPA/CPRA, GDPR)Thorough understanding of vulnerability management, penetration testing, and attack simulationsExperience supporting enterprise-wide Security Compliance programs designed to anticipate, assess, and minimize control gaps and audit findingsAbility to communicate in a written and oral format to technical and non-technical audiences in a business-friendly mannerDemonstrated success in a competitive environmentHighly self-motivated and ambitious in achieving goalsStrong team player, but can work and execute independentlyDriven; no one needs to push you to excel; that’s just who you areHungry to learn and actively look for opportunities to contributeHighly organized and detail-oriented; can handle multiple projects and dynamic priorities without missing a beat Who We Are We are a group of ambitious individuals who are passionate about creating a revolutionary AI company. At Hive, you will have a steep learning curve and an opportunity to contribute to one of the fastest growing AI start-ups in San Francisco. The work you do here will have a noticeable and direct impact on the development of the company. Thank you for your interest in Hive and we hope to meet you soon!

###",San Francisco
"Account Executive - Central America / Caribbean, Miami, Florida, United States, Extreme Networks Named to Computerworld’s 2023 List of Best Places to Work in IT! Over 50,000 customers globally trust our end-to-end, cloud-driven networking solutions and rely on our top-rated services and support to accelerate their digital transformation efforts and deliver progress like never before and with double digit growth year over year, no provider is better positioned to deliver better outcomes on scale, than Extreme. We believe in “walking the walk” of our strong core values which enable us to successfully advance together. Diversity and Inclusion is a vital part of our values and beliefs, and we’re proud to foster an environment where every Extreme employee can thrive.  Come become part of something big with us! We are a global leader, with hubs in North America, South America, Asia Pacific, Europe, and the Middle East.   Aside from being a Technology Leader in the Gartner Magic Quadrant, we also adamantly promote an internal culture that truly embraces diversity, inclusion and equality in the workplace. Having Diversity and Inclusion as part of our core values and beliefs, we’re proud to foster an environment where every Extreme employee can thrive because of their differences, not despite them.    The Enterprise Sales Account Executive is responsible for driving new business, building and maintaining customer loyalty, ensuring high retention rates, promoting our Customer centric culture/forward thinking strategies and initiatives. The successful Sales Account Executive will leverage our three tiered sales model, prospecting for new business and partnering with the internal/external Sales teams providing our Customers with an experience exceeding expectations. The team is made up of credible top performers who foster and entrepreneurial spirit and delivering predictable and consistent revenue growth.    Today’s world is fast and ever changing and with that change Extreme Networks is leading the charge on building an infinite enterprise that prioritizes business outcomes.  With technologies such as Multi-Cloud, Automation, IOT, AI/ML and 5G driving the next waves of innovation we are accelerating innovative capabilities when it matters most.     The CCA AE will build and maintain relationships with: ·        New and Existing Accounts - Utilize your Solutions Sales expertise to prospect and capture new Enterprise business while growing the existing install base   ·        Provide in-depth business planning and reporting (monthly forecast, weekly commit, pipeline development, etc.)   ·        Extreme Partners – Will assist in the continuing relationship with our existing partner eco system along with recruiting new relationships with key partners in the regions.   Requirements   ·        Must be fluent in both English and Spanish   ·        Proven hunter with a history of developing new prospective customers and collaborating across cross-functional internal teams, ensuring target quotas are achieved and exceeded.   ·        Driven to successfully close large complex deals amid a mix of new business, established accounts and channel management   ·        Strong executive presence and communications skills; with effective Solution Selling skills into Enterprise networking environments at the CXO levels.   ·        Strong Business plan development and forecasting experience   ·        Must be a self-starter with high energy and drive who takes initiative and works with limited direction   ·        A highly trusted business partner, who maintains and expect high standards for self and team   ·        An accomplished Enterprise Account Executive with established account base, strong regional Customer ,Channel Partner and Distribution relationships   ·        A very strong background and strong relationships relative to both the Channel and Distribution Channels in both Central America and the Caribbean   ·        Relevant industry/competitive knowledge   ·        Proven and verifiable track record in exceeding sales quotas; achieving Club   ·        Strong Competitive Industry and Product Knowledge with ability to articulate the Extreme Networks Business Value Proposition #LI - USA Remote Extreme Networks, Inc. (EXTR) creates effortless networking experiences that enable all of us to advance. We push the boundaries of technology leveraging the powers of machine learning, artificial intelligence, analytics, and automation. Over 50,000 customers globally trust our end-to-end, cloud-driven networking solutions and rely on our top-rated services and support to accelerate their digital transformation efforts and deliver progress like never before. For more information, visit Extreme's website or follow us on Twitter, LinkedIn, and Facebook. We encourage people from underrepresented groups to apply. Come Advance with us! In keeping with our values, no employee or applicant will face discrimination/harassment based on: race, color, ancestry, national origin, religion, age, gender, marital domestic partner status, sexual orientation, gender identity, disability status, or veteran status. Above and beyond discrimination/harassment based on “protected categories,” Extreme Networks also strives to prevent other, subtler forms of inappropriate behavior (e.g., stereotyping) from ever gaining a foothold in our organization. Whether blatant or hidden, barriers to success have no place at Extreme Networks.

###",Miami
"Studio Advisor II, HQ Studio, Newark, CA, Leading the future in luxury electric and mobility At Lucid, we set out to introduce the most captivating, luxury electric vehicles that elevate the human experience and transcend the perceived limitations of space, performance, and intelligence. Vehicles that are intuitive, liberating, and designed for the future of mobility.   We plan to lead in this new era of luxury electric by returning to the fundamentals of great design – where every decision we make is in service of the individual and environment. Because when you are no longer bound by convention, you are free to define your own experience.   Come work alongside some of the most accomplished minds in the industry. Beyond providing competitive salaries, we’re providing a community for innovators who want to make an immediate and significant impact. If you are driven to create a better, more sustainable future, then this is the right place for you.   Lucid is building a brand. A post-luxury brand centered around sustainability and the human experience. We’re looking for enthusiastic and conscientious Studio Associates to build Lucid with us.     #SPR   The Role As a Studio Advisor in a Lucid Studio, your primary responsibility will be to educate and support customers as they embark on their Lucid journey. This role is dedicated to ensuring the customer journey is frictionless and a personalized relationship with Lucid is established.Balance the needs of customer acquisition through supporting the Studio floor to delighting customers through your in-depth knowledge of our product by understanding their needs.Ability to customize their approach and relate to an array of people by uncovering their needs and asking the right questions. The role of a Studio Advisor is to build and nurture the relationship with our customers.Driven by achievement and thrives in an environment where goals are set and attained.Responsible and ambitious quick learner with a penchant for active listening and delivery of tailored, clear and relevant informationExperience with Customer Relationship Management (Salesforce) tools and a strong understanding of its contribution to the success.Driven to achieve targets and understands the link between sales and customer experience.Possesses strong relating skills including strong oral and written communication, empathy, and active listening ability.Ability to continually refine and adjust engagement approach to improve sales and customer experiences through feedback and review of customer interactions.Ability to prioritize and schedule tasks independently, ensuring a balance between Lucid brand building and Studio success.Aptness to remain disciplined in the development and maintenance of sales pipeline building.Can take ownership and responsibility for Studio assets, including high-value Lucid test drive vehicles.Possesses excellent presentation skills and comprehensive knowledge of Lucid to present new hire training programs.Ability to coordinate and facilitate customer test-drives. You Bring 3+ years of related professional experience.Experience within retail, luxury or hospitality strongly preferred.Bachelor's degree or equivalent is preferred.Excellent organizational skills and ability to prioritize effectively.Available to work weekends, evenings, nights, and holidays as needed.Ability to maintain a current Driver's license and obtain a DMV Salesperson License.Available to travel for on-boarding and training.Proficientin English with a secondary language skill set being a plus.Advanced skills in Microsoft Office products, CRM tools and retail business systems.Physical requirements include the ability to twist, bend, squat, reach, and stand for extended periods of time with or without reasonable accommodation. Excellent interpersonal and organizational skills with the ability to relentlessly prioritize.Manages and overcomes customer feedback in a cordial and calm manner.Acts with urgency and champions excellence in all company objectives.Demonstrates a passion for electric vehicles and premium vehicle markets.  #ACMP LMMP At Lucid, we don’t just welcome diversity - we celebrate it! Lucid Motors is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, national or ethnic origin, age, religion, disability, sexual orientation, gender, gender identity and expression, marital status, and any other characteristic protected under applicable State or Federal laws and regulations. Notice regarding COVID-19 protocols   At Lucid, we prioritize the health and wellbeing of our employees, families, and friends above all else. In response to the novel Coronavirus all new Lucid employees, whose job will be based in the United States may or may not be required to provide original documentation confirming status as having received the prescribed inoculation (doses). Vaccination requirements are dependent upon location and position, please refer to the job description for more details.   Individuals in positions requiring vaccinations may seek a medical and/or religious exemption from this requirement and may be granted such an accommodation after submitting a formal request to and the subsequent review and approval thereof by our dedicated Covid-19 Response team.   To all recruitment agencies: Lucid Motors does not accept agency resumes. Please do not forward resumes to our careers alias or other Lucid Motors employees. Lucid Motors is not responsible for any fees related to unsolicited resumes.

###",San Francisco
"Sr. Principal Technical Product Manager, Data, Beaverton, OR, Leading the future in luxury electric and mobility At Lucid, we set out to introduce the most captivating, luxury electric vehicles that elevate the human experience and transcend the perceived limitations of space, performance, and intelligence. Vehicles that are intuitive, liberating, and designed for the future of mobility.   We plan to lead in this new era of luxury electric by returning to the fundamentals of great design – where every decision we make is in service of the individual and environment. Because when you are no longer bound by convention, you are free to define your own experience.   Come work alongside some of the most accomplished minds in the industry. Beyond providing competitive salaries, we’re providing a community for innovators who want to make an immediate and significant impact. If you are driven to create a better, more sustainable future, then this is the right place for you.   The Sr. Technical Product Owner, Data is responsible to manage large-scale data operations programs, define milestones and success criteria, allocate resources, and deliver products on time. You will lead efforts to communicate schedules, priorities, and status to all levels in the company as well as track progress, resolve dependencies, evaluate risks and communicate status to management and project stakeholders   The Role Manage large-scale data operations programs, define milestones and success criteria, allocate resources, and deliver products on time.Understand technical implementation at the architecture level and propose technical alternatives when necessary.Design metrics, KPIs, reports, dashboardsImplement Agile project execution with an Agile iterative process.Influence technical decisions in working with large, cross-functional teams.Perform data analysis using Tableau, Looker, and similar tools.Lead efforts to communicate schedules, priorities, and status to all levels in the company.Work with internal and external customers on setting goals and priorities for data engineering and operations.Work with various teams on data integration projects, bringing in data from multiple internal and external data sources.Constantly communicate our vision, features, priorities, deliverables, and goals to our stakeholders via program documentation, launch announcements, release notes, brown bags, seminars, and user training.Interface with engineering managers and engineers to estimate work efforts, define milestones and manage resources.Track progress, resolve dependencies, evaluate risks and communicate status to management and project stakeholders.  Qualifications Bachelor's, Master's and experience in Engineering Product Management.10+ years of experience in Program Management on technical cross-functional projects.3+ years of experience in data engineering or web development.Practical knowledge of Agile project execution and Agile iterative process.Expert knowledge of Atlassian Jira and ConfluenceGood understanding of data engineering, cloud and web developmentUnderstanding of Big Data tools, using Hadoop, Kafka, Spark, Presto, Airflow, Elastic Search, Docker, and Kubernetes.Technical understanding in large distributed systems, Data Warehousing/Data Lake at scaleExperience in managing and executing large-scale, complex technical projects and delivering high-quality products.Great ability to identify and translate emerging trends and customer needs into workable product proposals.Solid technical aptitude and an ability to contribute to technical designs, challenges, and risks.Proven strong cross-team and cross-org stakeholder management. Ability to influence, motivate, and align people across a broad variety of job functions through your relationships.Metrics-driven: Experience determining effective program KPIs and using them to measure program success and issues.Good at facilitating discussions. getting the right people in the room, let conversations run their course while they are productive, move them toward consensus when possible, and make hard decisions or escalate, as required. At Lucid, we don’t just welcome diversity - we celebrate it! Lucid Motors is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, national or ethnic origin, age, religion, disability, sexual orientation, gender, gender identity and expression, marital status, and any other characteristic protected under applicable State or Federal laws and regulations. Notice regarding COVID-19 protocols   At Lucid, we prioritize the health and wellbeing of our employees, families, and friends above all else. In response to the novel Coronavirus all new Lucid employees, whose job will be based in the United States may or may not be required to provide original documentation confirming status as having received the prescribed inoculation (doses). Vaccination requirements are dependent upon location and position, please refer to the job description for more details.   Individuals in positions requiring vaccinations may seek a medical and/or religious exemption from this requirement and may be granted such an accommodation after submitting a formal request to and the subsequent review and approval thereof by our dedicated Covid-19 Response team.   To all recruitment agencies: Lucid Motors does not accept agency resumes. Please do not forward resumes to our careers alias or other Lucid Motors employees. Lucid Motors is not responsible for any fees related to unsolicited resumes.

###",Portland
"Senior Manager, Data Engineering, Mountain View, United States, Working at Atlassian   Atlassian can hire people in any country where we have a legal entity. Assuming you have eligible working rights and a sufficient time zone overlap with your team, you can choose to work remotely or return to an office as they reopen (unless it’s necessary for your role to be performed in the office). Interviews and onboarding are conducted virtually, a part of being a distributed-first company.   Job Description: Atlassian is looking for a hands-on Senior Data Engineering Leader to join our Data Engineering and Applications team and build data products and applications that power critical business decisions across the organization and inform the product strategy. We are looking for a forward-thinking, structured problem solver, technical specialist, and talented leader passionate about building systems at scale. You will lead a world-class data engineering practice, shape up technical strategy and data architecture, and develop data products to enable reporting, analytics, data science, machine learning, and AI workloads. As the data domain specialist, you will partner with a cross-functional team of IT, data platform, product engineering, analytics teams, and data scientists to support various initiatives. Requirements may be vague, but the iterations will be rapid, and you must take thoughtful and calculated risks. You are interested in reporting platforms and data visualization.   More about you You are passionate about technology and data and understand the power of data to influence the future of companies like Atlassian. You thrive on developing phenomenal data products using modern data architecture, engineering practices, and tools to process store, and expose governed and trusted datasets and metrics. You are well-versed in data-driven and data-informed product development and comfortable with the nuts and bolts of software engineering, data engineering, and basic data science. You have excellent business engagement skills and thrive on building strong partnerships and working relationships with business and analytics leaders at all levels. You have a strong sense of fiscal discipline, manage tight budgets, and drive cost efficiency. You are an experienced manager with a strong record of attracting and growing data talent through hiring, coaching, mentoring, and hands-on career development. You foster an inclusive environment where all points of view are welcomed and encouraged. On your first day, we'll expect you to have: 12+ years of experience in building and managing data warehouse, data pipelines, and data products8+ years of experience leading data engineering teamsStrong business acumen with an understanding of business drivers and of how to drive value using data across the organizationDemonstrated experience in developing strong business relationships and trust with senior business leaders across different functions.Prior experience partnering with Analytics and with Data Science teams10+ Years of experience in delivering data and analytics solutions for various domains like Go To Market, Customer support, Finance, People, Commerce, and EngineeringExperience with solution building and architecting with public cloud offerings such as Amazon Web Services, S3, EMR/Spark/Hive, Presto/AthenaProven experience building streaming and batch processing data pipelinesExperience building pipelines to support Machine Learning workloadsExperience with test automation, continuous delivery, ensuring high data quality across multiple datasets used for analytical purposesExperience in building anomaly detection checks and proactive monitoring of the quality of the data and KPI's at scaleSolid understanding and experience building Microservices and RESTful APIsExperience with Tableau and other BI toolsProven experience hiring and mentoring high-caliber, data-focused engineers with diverse technical strengths and backgrounds.High-energy self-starter with a passion for data, enjoy working in a fast-paced environment.Exceptional communication skills and can translate technical concepts into easy-to-understand language for business partners.A graduate degree in Computer Science or a similar subject area It's great but not required if you have: Experience working with Product Engineering teamsExperience working with Data Governance teams implementing Data management practicesExperience working for SAAS companiesExperience with Machine LearningCommitted code to open source projects Our perks & benefits To support you at work and play, our perks and benefits include ample time off, an annual education budget, paid volunteer days, and so much more. About Atlassian The world’s best teams work better together with Atlassian. From medicine and space travel, to disaster response and pizza deliveries, Atlassian software products help teams all over the planet. At Atlassian, we're motivated by a common goal: to unleash the potential of every team. We believe that the unique contributions of all Atlassians create our success. To ensure that our products and culture continue to incorporate everyone's perspectives and experience, we never discriminate based on race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status. All your information will be kept confidential according to EEO guidelines. To learn more about our culture and hiring process, explore our Candidate Resource Hub.

###",San Francisco
"Staff Engineer, Data (Remote), Vancouver, British Columbia, We are looking for a Staff Engineer to join our growing Engineering Team. You will work with key technical team members across the organization to ensure that BenchSci's technical infrastructure and codebase will support long-term growth. Reporting to the Director of Engineering, you will provide technical leadership across several functional areas within the team, lead complex projects, participate in roadmap and project planning, and contribute to BenchSci's data engineering and architecture initiatives. The Staff Engineer will help foster the development of other individual contributors, while also playing an important role in helping us scale as we continue to improve scientific discovery.   BenchSci is a remote-first organization. At this moment, we are welcoming applicants from Canada, the US and the UK for this position.  You Will: Collaborate with multiple teams working on key customer features and our own internal development projectsContribute to setting technical and architectural direction for our Data Engineering teams with a focus on expanding the scope of our products and our ability to make life scientists more effectiveDrive the architecture of BenchSci to help us handle data more securelyDecouple work done by teams to allow for more independent work and smaller feature releasesBe involved in all aspects of software development, working to create and maintain the most reliable, secure, performant and high throughput service for our customers by using the latest cloud technology (this can range from setting high-level technical direction down to implementation)Be an inspiring mentor to other engineersBe an advocate for us and its engineering team through several channels You Have: 8+ years of professional development experience, with 2+ years at the Staff levelExpertise in data management practices, including approaches to capturing provenance, versioning, and disaster recoveryExperience working with secure data, including compliance with regulations like HIPAA and GDPRExpertise with data processing engines such as Apache BeamExperience working with SaaS products in a fast-paced Agile environmentThe ability to lead the engineering team toward the decisions they make while minimizing frictionThe ability to translate business concerns into technical implementationsExperience with mentoring technical teamsExperience with big dataThe ability to communicate trade-offs in approaches to security, speed to ship, and performanceDomain expertise in either machine learning, distributed systems, data engineering, or cloud infrastructureThe ability to provide constructive feedback to other individual contributors while showing a sense of empathy, tact, thoughtfulness and respect Benefits and Perks:  An engaging remote-first culture  A great compensation package that includes BenchSci equity options 15 days vacation plus an additional day every year; plus company closures for 15 more days throughout the year Unlimited flex time for sick days, personal days, religious holidays Comprehensive health and dental benefits Emphasis on mental health with $2500 CAD* for Psychologist, Social Worker, or Psychotherapist services A $2000 CAD* Annual Learning & Development budget A $1000 CAD*  home office set-up budget A $2500 CAD*wellness, lifestyle and productivity spending account for employees   Generous parental leave benefits with a top-up plan or paid time off options *Benefits are tied to Canadian dollar amounts and would be converted to local currency for those in other countries. Moving to local currency allotments in the future. About BenchSci: BenchSci's vision is to help scientists bring novel medicine to patients 50% faster by 2025. We empower scientists to run more successful experiments with the world's most advanced, biomedical artificial intelligence software platform.  Backed by F-Prime, Inovia, Golden Ventures, and Google's AI fund, Gradient Ventures, we provide an indispensable tool for scientists that accelerates research at 16 top 20 pharmaceutical companies and over 4,300 leading academic centers. We're a certified Great Place to Work®, and top-ranked company on Glassdoor. Our Culture: BenchSci relentlessly builds on its strong foundation of culture. We put team members first, knowing that they're the organization's beating heart. We invest as much in our people as our products. Our culture fosters transparency, collaboration, and continuous learning.  We value each other's differences and always look for opportunities to embed equity into the fabric of our work. We foster diversity, autonomy, and personal growth, and provide resources to support motivated self-leaders in continuous improvement.  You will work with high-impact, highly skilled, and intelligent experts motivated to drive impact and fulfill a meaningful mission. We empower you to unleash your full potential, do your best work, and thrive. Here you will be challenged to stretch yourself to achieve the seemingly impossible.  Learn more about our culture. Diversity, Equity and Inclusion: We're committed to creating an inclusive environment where people from all backgrounds can thrive. We believe that improving diversity, equity and inclusion is our collective responsibility, and this belief guides our DEI journey.  Learn more about our DEI initiatives. Accessibility Accommodations: Should you require any accommodation, we will work with you to meet your needs. Please reach out to talent@benchsci.com. #LI-Remote

###","Vancouver,Remote (US)"
"Group Manager, Cloud Enterprise Support, Austin, United States, Working at Atlassian   Atlassian can hire people in any country where we have a legal entity. Assuming you have eligible working rights and a sufficient time zone overlap with your team, you can choose to work remotely or return to an office as they reopen (unless it’s necessary for your role to be performed in the office). Interviews and onboarding are conducted virtually, a part of being a distributed-first company.   Your future team We are looking for a passionate and inspiring strategic manager to run and grow our Cloud Enterprise Customer Support operations. Reporting to the Group Manager, Cloud Enterprise Collaborating with Regional Managers from other geographies and Heads-Of departments, you will define strategic direction and operational strategies for our Cloud Enterprise support teams based in North America. You will identify areas for continuous improvement, contribute to policies and frameworks, and most importantly, develop team talent. To support our customers, you need to build an environment that attracts top talent and nurtures them through training programs, accountability for stretch goals, regular performance management, and calibration exercises. You will join our Customer Support Services (CSS) department at an exciting time where Atlassian is growing year over year, and we want to grow intelligently while helping our customers unlock value from our products faster. This is an opportunity to help achieve that goal. What you'll do Define support strategy to improve customer experience, scale the team, develop talent, balance cost and coveragePresent strategy, important insights, financial/non-financial achievements, monthly/quarterly progress updates to leadership.Coach stewardship capabilities and a continuous improvement mindset to your directs and their teamsInspire and motivate support leadership and support engineers to lean into our values to advocate for our largest, most complex enterprise customersDevelop an environment and culture of legendary support throughout the Cloud support teamAnalyze operational metrics to determine strategic wins and guide improvements to increase value for Cloud customersCollaborate with important partners in our Cloud Product team and other leaders throughout Customer Support & Success to guide visibility of cloud support customer needs and ensure multi-functional and cross-geo collaborationLead your team through hyper-growth transformation by scaling intelligently and improving the customer experienceGrow the leadership capability in the organization - senior managers, support managers, and their teamsAttract and nurture top talent, improve employee engagement and satisfactionMonitor and improve important business processes and operational metricsFoster an environment of legendary customer support - Improve solutions based on internal insights and customer feedback to challenge your team and the broader company to deliver higher valueAnticipate the evolution of Cloud customers and their needs in partnership with Product leadershipGuide cross-functional and cross-geo programs to accomplish broader company strategy Your background Demonstrated experience implementing talent-nurturing programs that grow leaders and Support EngineersExperience presenting to support platform heads and senior leadership with clear successes and challenges and the impact on the health of the businessLeadership experience managing large teams to meet operational performance goalsExceptional behavioural assessment capability and the ability to teach this to othersExperience building a customer-centric culture that advocates for the customer's needsExperience interpreting data analytics to find insights that customer valueDemonstrated experience and success in multi-functional influence and inspiring change15+ years of experience in fast-growing global support operations serving a complex customer base Compensation At Atlassian, we tie our base pay ranges to role and level. In the United States, that means your base pay ranges will fall into one of three geographic pay zones depending on your location. Our current base pay ranges for new hires in each zone are: Zone A: Zone A: $149,200 - $228,900 Zone B: $134,300 - $206,000 Zone C: $123,800 - $190,000 Within each range, base pay is ultimately determined based on your skills, expertise, and experience. This role may also be eligible for benefits, bonuses, commissions, and/or equity. Please see here for more information on which locations are included in each of our geographic pay zones. However, please confirm the zone for your specific location with your recruiter. Our perks & benefits To support you at work and play, our perks and benefits include ample time off, an annual education budget, paid volunteer days, and so much more. About Atlassian The world’s best teams work better together with Atlassian. From medicine and space travel, to disaster response and pizza deliveries, Atlassian software products help teams all over the planet. At Atlassian, we're motivated by a common goal: to unleash the potential of every team. We believe that the unique contributions of all Atlassians create our success. To ensure that our products and culture continue to incorporate everyone's perspectives and experience, we never discriminate based on race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status. All your information will be kept confidential according to EEO guidelines. To learn more about our culture and hiring process, explore our Candidate Resource Hub.

###",Austin
"Engineering Manager, Site Reliability Engineering (Remote), Ottawa, Ontario, We are looking for an Engineering Manager to join our growing Core Services group. Reporting to the Director of Engineering, Core Services, you will manage the planning, delivery and mentoring of our SRE team and lead all development and operations that ensure the reliability of our web applications. You will work with both teams focused on feature delivery and other teams to ensure that we have the right tooling and capabilities to support the high reliability of our systems. You will be responsible for improvements to our incident response and postmortem process, operational reviews and incident trend analysis to guide the internal roadmap of the SRE team.   BenchSci is a remote-first organization. At this moment, we are welcoming applicants from Canada, the US and the UK for this position.  You Will: Lead software and system design initiatives by using cloud-native design patterns and injecting your cloud expertise into the entire development lifecycleUnderstand feature delivery teams' needs and engage the SRE team to help them improve the reliability of the services they support in production.Perform operational reviews with feature delivery and other teams to understand incident trends and hot spots and work with them on a plan to address them.Provide periodic incident trends analysis to identify systemic issues and devise projects on SRE and feature delivery team's roadmaps to address them.Manage our post-mortem process and track the completion SLA of the action items assigned to SRE and feature delivery teams.Scale the SRE function through the development of self-serve tooling in addition to headcount.Help improve our monitoring capabilities to help feature delivery teams identify production issues.Improve the observability of our systems to help identify causes of incidents faster.Provide SLA compliance dashboards to track contractual obligations.Improve our incident response and post-mortem process and related automation.Increase the quality and standard of the documentation of our systems, and work with application development teams to maintain that standard. You Have: 2+ years of experience working in a leadership capacity within a DevOps or an SRE domain.5+ years of experience working as a Site Reliability Engineer or DevOps Engineer, with a focus on observability and reliabilityExperience with observability and reliability tools and techniques in a cloud-native environmentExperience working in Python and JavaScript codebases.Experience with cloud reference architectures and developing specialized stacks on cloud servicesEagerness to share your own ideas, and openness to those of others Benefits and Perks:  An engaging remote-first culture  A great compensation package that includes BenchSci equity options 15 days vacation plus an additional day every year; plus company closures for 15 more days throughout the year Unlimited flex time for sick days, personal days, religious holidays Comprehensive health and dental benefits Emphasis on mental health with $2500 CAD* for Psychologist, Social Worker, or Psychotherapist services A $2000 CAD* Annual Learning & Development budget A $1000 CAD*  home office set-up budget A $2500 CAD*wellness, lifestyle and productivity spending account for employees   Generous parental leave benefits with a top-up plan or paid time off options *Benefits are tied to Canadian dollar amounts and would be converted to local currency for those in other countries. Moving to local currency allotments in the future. About BenchSci: BenchSci's vision is to help scientists bring novel medicine to patients 50% faster by 2025. We empower scientists to run more successful experiments with the world's most advanced, biomedical artificial intelligence software platform.  Backed by F-Prime, Inovia, Golden Ventures, and Google's AI fund, Gradient Ventures, we provide an indispensable tool for scientists that accelerates research at 16 top 20 pharmaceutical companies and over 4,300 leading academic centers. We're a certified Great Place to Work®, and top-ranked company on Glassdoor. Our Culture: BenchSci relentlessly builds on its strong foundation of culture. We put team members first, knowing that they're the organization's beating heart. We invest as much in our people as our products. Our culture fosters transparency, collaboration, and continuous learning.  We value each other's differences and always look for opportunities to embed equity into the fabric of our work. We foster diversity, autonomy, and personal growth, and provide resources to support motivated self-leaders in continuous improvement.  You will work with high-impact, highly skilled, and intelligent experts motivated to drive impact and fulfill a meaningful mission. We empower you to unleash your full potential, do your best work, and thrive. Here you will be challenged to stretch yourself to achieve the seemingly impossible.  Learn more about our culture. Diversity, Equity and Inclusion: We're committed to creating an inclusive environment where people from all backgrounds can thrive. We believe that improving diversity, equity and inclusion is our collective responsibility, and this belief guides our DEI journey.  Learn more about our DEI initiatives. Accessibility Accommodations: Should you require any accommodation, we will work with you to meet your needs. Please reach out to talent@benchsci.com. #LI-Remote

###",Remote (US)
